wpdx_id,lat_deg,lon_deg,status_clean,pop_served_500m,install_year,is_urban,water_source_clean,water_tech_clean,geom_wkt,cluster_id
6GFPXPVQ+76F,-0.0068033,34.73804092,Non-Functional,1596.5077409744263,,f,Borehole/Tubewell,,POINT(34.73804092 -0.0068033),196
6GGP6HF2+VJX,0.224748328,34.55161667,Non-Functional,816.5422115325928,,f,Borehole/Tubewell,,POINT(34.55161667 0.224748328),196
6GGP833W+QG6,0.304404199,34.09627914,Non-Functional,462.44345331192017,,f,Borehole/Tubewell,,POINT(34.09627914 0.304404199),50
6GGP854X+5WR,0.305498302,34.19976044,Non-Functional,2643.721239089966,,f,Borehole/Tubewell,,POINT(34.19976044 0.305498302),111
6GGP86F7+5VF,0.322941512,34.21467972,Non-Functional,493.2531132698059,,f,Borehole/Tubewell,,POINT(34.21467972 0.322941512),111
6GGVV2F3+46R,0.87285846,37.00302357,Non-Functional,33.781307712197304,,f,Piped Water,Hand Pump - Rope,POINT(37.00302357 0.87285846),
6G8X3Q98+JQC,-3.930926488,39.76689089,Non-Functional,1859.090805053711,,f,Borehole/Tubewell,,POINT(39.76689089 -3.930926488),
6GGP6J68+R84,0.212005004,34.61583328,Non-Functional,937.8770723342896,,f,Protected Well,Motorized Pump - Electric,POINT(34.61583328 0.212005004),196
6GGP9638+C53,0.353518333,34.21541833,Non-Functional,451.71291303634644,,f,Borehole/Tubewell,,POINT(34.21541833 0.353518333),111
6GGP6J78+2JF,0.212566674,34.61654282,Non-Functional,949.743968963623,,f,Protected Well,Motorized Pump - Electric,POINT(34.61654282 0.212566674),196
6GCPVCCX+5QQ,-1.12953496,34.44949341,Non-Functional,381.0357527732849,,f,Borehole/Tubewell,,POINT(34.44949341 -1.12953496),
6GGP6JC2+RHG,0.222063333,34.60146332,Non-Functional,832.7568516731262,,f,Protected Well,Motorized Pump - Electric,POINT(34.60146332 0.222063333),196
6GCPWG2V+GMQ,-1.098653316,34.54424667,Non-Functional,308.8840789794922,,f,Borehole/Tubewell,,POINT(34.54424667 -1.098653316),69
6GGPCGWR+MWJ,0.446703345,34.54226685,Non-Functional,606.2668843269348,,f,Borehole/Tubewell,,POINT(34.54226685 0.446703345),
6GFP3HG9+6HM,-0.924415171,34.56891251,Non-Functional,251.61782228946686,,f,Borehole/Tubewell,,POINT(34.56891251 -0.924415171),
6GGP8347+V4V,0.307236612,34.06279755,Non-Functional,450.08421182632446,,f,Borehole/Tubewell,,POINT(34.06279755 0.307236612),50
6GGP834P+6FP,0.305587709,34.0861969,Non-Functional,472.2495503425598,,f,Borehole/Tubewell,,POINT(34.0861969 0.305587709),50
6GGP6JC3+WJR,0.222361669,34.60401535,Non-Functional,881.3697032928467,,f,Protected Well,Motorized Pump - Electric,POINT(34.60401535 0.222361669),196
6GGPMR56+784,0.658143342,34.81081772,Non-Functional,554.889283657074,,f,Borehole/Tubewell,,POINT(34.81081772 0.658143342),
6GGP3CVF+PF9,0.09429647,34.42372131,Non-Functional,355.6715784072876,,f,Borehole/Tubewell,,POINT(34.42372131 0.09429647),57
6GGP4423+WXQ,0.102331668,34.10499954,Non-Functional,297.68294048309326,,f,Borehole/Tubewell,,POINT(34.10499954 0.102331668),108
6GGPC62R+QRV,0.401983291,34.24206161,Non-Functional,552.6390509605408,,f,Borehole/Tubewell,,POINT(34.24206161 0.401983291),111
6GGPC6M7+J43,0.434015,34.2128,Non-Functional,344.2220287322998,,f,Borehole/Tubewell,,POINT(34.2128 0.434015),111
6GGP2QFH+C4X,0.0236017,34.77786636,Non-Functional,880.8226437568665,,f,Protected Well,Motorized Pump - Electric,POINT(34.77786636 0.0236017),196
6GGP2QQ6+G5H,0.038819999,34.76049805,Non-Functional,678.778359413147,,f,Borehole/Tubewell,,POINT(34.76049805 0.038819999),196
6GGPC6R5+MMV,0.441735936,34.20918019,Non-Functional,373.68276929855347,,f,Borehole/Tubewell,,POINT(34.20918019 0.441735936),111
6GGP49R8+CRX,0.141115561,34.36711502,Non-Functional,290.6055955886841,,f,Borehole/Tubewell,,POINT(34.36711502 0.141115561),73
6GGP4496+F69,0.118657447,34.11059952,Non-Functional,328.56532883644104,,f,Borehole/Tubewell,,POINT(34.11059952 0.118657447),108
6GGP2QXX+6G3,0.048006665,34.79880142,Non-Functional,614.4609355926514,,f,Protected Well,Motorized Pump - Electric,POINT(34.79880142 0.048006665),196
6GGPC6RX+WGQ,0.442346667,34.248845,Non-Functional,1314.2510299682617,,f,Borehole/Tubewell,,POINT(34.248845 0.442346667),111
6GGP6JH2+2HX,0.227603331,34.60147095,Non-Functional,813.8500137329102,,f,Protected Well,Motorized Pump - Electric,POINT(34.60147095 0.227603331),196
6GGP2RJ6+9F8,0.030905001,34.81120682,Non-Functional,613.8449320793152,,f,Protected Well,Motorized Pump - Electric,POINT(34.81120682 0.030905001),196
6GGP4Q7M+722,0.113130613,34.78252692,Non-Functional,1433.4548139572144,,f,Protected Well,,POINT(34.78252692 0.113130613),196
6GFP5FWF+7PX,-0.804274976,34.47434998,Non-Functional,323.6438674926758,,f,Borehole/Tubewell,,POINT(34.47434998 -0.804274976),
6GGPCPCV+PPW,0.421863347,34.74433136,Non-Functional,585.5593271255493,,f,Borehole/Tubewell,,POINT(34.74433136 0.421863347),196
6GGPF655+835,0.458271712,34.20772171,Non-Functional,354.41702580451965,,f,Borehole/Tubewell,,POINT(34.20772171 0.458271712),111
6GGP6JH9+HC6,0.228916705,34.61851883,Non-Functional,732.9821519851685,,f,Protected Well,Motorized Pump - Electric,POINT(34.61851883 0.228916705),196
6GFP8C8H+7PV,-0.684274971,34.42929459,Non-Functional,198.8642930984497,,f,Borehole/Tubewell,,POINT(34.42929459 -0.684274971),31
6GFPFP9F+MHR,-0.530771971,34.72388458,Non-Functional,680.6450176239014,,f,Borehole/Tubewell,,POINT(34.72388458 -0.530771971),232
6GFP782H+P44,-0.74822998,34.32782364,Non-Functional,439.90034079551697,,f,Borehole/Tubewell,,POINT(34.32782364 -0.74822998),225
6GGP835X+QRM,0.309451667,34.09955333,Non-Functional,427.5497031211853,,f,Borehole/Tubewell,,POINT(34.09955333 0.309451667),50
6GGPF637+QFF,0.454448342,34.21365738,Non-Functional,351.72515892982483,,f,Borehole/Tubewell,,POINT(34.21365738 0.454448342),111
6GFP79F9+3C6,-0.727346659,34.36852264,Non-Functional,1055.9822177886963,,f,Borehole/Tubewell,,POINT(34.36852264 -0.727346659),171
6GGP6JQ3+63P,0.238083333,34.60269547,Non-Functional,594.7113885879517,,f,Protected Well,Motorized Pump - Electric,POINT(34.60269547 0.238083333),196
6GGP3846+QRC,0.056944307,34.31202316,Non-Functional,763.3801035881042,,f,Borehole/Tubewell,,POINT(34.31202316 0.056944307),151
6GGP3853+342,0.057648219,34.30277252,Non-Functional,1485.6207818984985,,f,Borehole/Tubewell,,POINT(34.30277252 0.057648219),151
6GGP3862+F5H,0.061178333,34.30049667,Non-Functional,1578.3111295700073,,f,Borehole/Tubewell,,POINT(34.30049667 0.061178333),151
6GGP6JW8+G27,0.246281669,34.61504364,Non-Functional,409.6904811859131,,f,Protected Well,Motorized Pump - Electric,POINT(34.61504364 0.246281669),196
6GFP7GMF+WHV,-0.715144992,34.52390671,Non-Functional,294.2363386154175,,f,Borehole/Tubewell,,POINT(34.52390671 -0.715144992),
6GGP834W+26C,0.305051655,34.09550476,Non-Functional,480.8863410949707,,f,Protected Well,Motorized Pump - Electric,POINT(34.09550476 0.305051655),50
6GGP836W+MV6,0.311666101,34.09714508,Non-Functional,438.5659463405609,,f,Borehole/Tubewell,,POINT(34.09714508 0.311666101),50
6GGP839F+P28,0.31929329,34.07258606,Non-Functional,345.83666467666626,,f,Borehole/Tubewell,,POINT(34.07258606 0.31929329),50
6GGP839X+RFH,0.319568992,34.09873581,Non-Functional,329.1372184753418,,f,Protected Well,Motorized Pump - Electric,POINT(34.09873581 0.319568992),50
6GCPJPG6+8FR,-1.374133348,34.71113205,Non-Functional,557.4129843711853,,f,Protected Well,Motorized Pump - Electric,POINT(34.71113205 -1.374133348),203
6GGP83CJ+G3M,0.321335614,34.08017731,Non-Functional,301.1916699409485,,f,Borehole/Tubewell,,POINT(34.08017731 0.321335614),50
6GFP7FVG+RCQ,-0.705404997,34.47612381,Non-Functional,282.7077543735504,,f,Borehole/Tubewell,,POINT(34.47612381 -0.705404997),63
6GFP7FXQ+6G7,-0.701974988,34.48878479,Non-Functional,281.2215609550476,,f,Borehole/Tubewell,,POINT(34.48878479 -0.701974988),
6GGP83VX+HMX,0.343978286,34.09923553,Non-Functional,385.9610457420349,,f,Borehole/Tubewell,,POINT(34.09923553 0.343978286),130
6GGP8444+7VM,0.30570206,34.10717392,Non-Functional,468.8417000770569,,f,Borehole/Tubewell,,POINT(34.10717392 0.30570206),50
6GGP844R+27M,0.305084639,34.1406683,Non-Functional,304.55016589164734,,f,Protected Well,,POINT(34.1406683 0.305084639),50
6GGPF7X9+W5W,0.499873668,34.26796341,Non-Functional,327.33262276649475,,f,Borehole/Tubewell,,POINT(34.26796341 0.499873668),116
6GGP844R+2GR,0.305114686,34.14126205,Non-Functional,292.61954498291016,,f,Protected Well,Motorized Pump - Electric,POINT(34.14126205 0.305114686),50
6GGP845C+7X2,0.308146905,34.12239838,Non-Functional,417.2319507598877,,f,Borehole/Tubewell,,POINT(34.12239838 0.308146905),50
6GGP846H+56M,0.310460687,34.12803268,Non-Functional,283.7499854564667,,f,Protected Well,Motorized Pump - Electric,POINT(34.12803268 0.310460687),50
6GGP846X+JXH,0.311567605,34.1499939,Non-Functional,307.8251197338104,,f,Borehole/Tubewell,,POINT(34.1499939 0.311567605),50
6GGP848F+RQV,0.31712091,34.12440872,Non-Functional,342.70235800743103,,f,Protected Well,Motorized Pump - Electric,POINT(34.12440872 0.31712091),50
6GGPF8HF+R9W,0.479603333,34.32344667,Non-Functional,313.9199492931366,,f,Borehole/Tubewell,,POINT(34.32344667 0.479603333),89
6GGP3MJC+VJ8,0.08215356,34.67156497,Non-Functional,1027.7779550552368,,f,Protected Well,,POINT(34.67156497 0.08215356),196
6GGP84J9+MXW,0.331743509,34.11996078,Non-Functional,379.5477817058563,,f,Protected Well,Motorized Pump - Electric,POINT(34.11996078 0.331743509),130
